State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
USA.AK,US,Commercial,N2O,0.004773152,0.004883305,0.005559598,0.006035954,0.005927402,0.005324294,0.005535061,0.00532832,0.005549699,0.005924741,0.005594858,0.006319701,0.005301787,0.004811901,0.005501253,0.005147926,0.005834831,0.00498534,0.006006077,0.00573611,0.006830494,0.007114282,0.006691545,0.006252186,0.006045043,0.007219405,0.006141571,0.006122872,0.006041086
USA.AK,US,Electricity/Heat ,All GHG,2.612978405,2.470935127,2.299615884,2.325685906,2.338714875,2.416548888,2.538715531,2.743231221,2.916559376,3.021952937,3.169204096,3.250767338,3.267205769,2.98107745,3.165776161,3.232032051,3.476266112,3.268631894,3.260184113,3.144729532,3.036645435,3.163443222,3.126725266,2.640854227,2.901499715,2.943315239,2.750201314,2.781549414,2.682653181
USA.AK,US,Electricity/Heat ,CH4,0.001247109,0.001209663,0.001134144,0.001164492,0.001181462,0.001206626,0.00136293,0.001494443,0.001527463,0.001592489,0.001552892,0.001705878,0.001730753,0.001586163,0.001621436,0.001655344,0.001769581,0.001632692,0.001562564,0.001585299,0.001455358,0.001511529,0.001512969,0.001241551,0.001283286,0.001300057,0.001261146,0.001300277,0.00122746
USA.AK,US,Electricity/Heat ,CO2,2.608036082,2.465955877,2.294947544,2.320761903,2.333925381,2.411569465,2.533634983,2.737742181,2.909120672,3.014477884,3.161807252,3.242679793,3.25881561,2.974592569,3.158980253,3.225254016,3.469161595,3.261917653,3.253801576,3.13805074,3.030606101,3.157277779,3.120367462,2.635396671,2.894280288,2.935554244,2.743041591,2.774446755,2.675238151
USA.AK,US,Electricity/Heat ,N2O,0.003695215,0.003769587,0.003534197,0.003759511,0.003608032,0.003772796,0.003717619,0.003994598,0.005911241,0.005882565,0.005843953,0.006381667,0.006659406,0.004898718,0.005174472,0.005122692,0.005334936,0.00508155,0.004819974,0.005093493,0.004583976,0.004653914,0.004844836,0.004216006,0.005936142,0.006460938,0.005898576,0.005802382,0.006187571
USA.AK,US,Energy ,All GHG,45.86780978,46.52521883,47.82089524,47.85467976,46.89426112,50.6470584,51.17283813,50.67236056,51.03231478,50.98863228,51.196702,50.13605314,50.39074456,50.47754054,53.51354822,54.36906271,51.85713575,49.89440797,45.43097116,42.64605833,43.56269451,43.20192033,42.04419617,39.40581199,37.99927294,38.8834001,37.95885215,37.7966599,37.91660259
USA.AK,US,Fugitive Emissions ,All GHG,11.27978667,11.31329557,11.2382566,11.42715587,10.63284175,9.83846192,9.297681761,8.705631096,8.064526313,7.441312968,6.978008795,6.890931312,6.999702503,6.941081498,6.729327423,6.283986761,5.94122567,5.703194627,5.831276905,4.799925855,4.710307394,4.497360043,3.869044426,3.298036206,2.905025016,2.565043612,2.92282866,2.85755728,2.387769498
USA.AK,US,Fugitive Emissions ,CH4,10.7609899,10.7903261,10.55338938,10.33871531,9.992507159,9.415574803,8.954513067,8.304988322,7.667916497,7.097406521,6.612396221,6.519208375,6.64670763,6.634769618,6.435156042,5.973338304,5.597258429,5.391710202,5.348721574,4.487615745,4.221420847,3.949245851,3.307064225,2.950162934,2.58489431,2.300127288,2.501530716,2.481763262,2.015498148
USA.AK,US,Fugitive Emissions ,CO2,0.518796766,0.522969476,0.684867221,1.088440569,0.640334594,0.422887116,0.343168694,0.400642774,0.396609816,0.343906447,0.365612574,0.371722937,0.352994872,0.30631188,0.294171381,0.310648457,0.343967241,0.311484426,0.48255533,0.312310109,0.488886547,0.548114192,0.561980201,0.347873272,0.320130707,0.264916324,0.421297944,0.375794018,0.37227135
USA.AK,US,Industrial Processes ,All GHG,1.093494205,1.220359199,1.347810101,1.325583665,1.414568772,1.397243605,1.308172162,1.24966031,1.291365455,1.29425017,1.173466226,1.013556565,1.167179661,1.060064716,2.459949583,1.149994908,0.501875851,0.509002331,0.313862502,0.33744377,0.359168089,0.367729774,0.373265463,0.633685578,0.630909811,0.644926298,0.612175824,0.622282689,0.649315374
