Country,State,Year,Population,All GHG,CH4,CO2,N2O,F-Gas
US,ME,2005,1318787,35.20402834,40.838947911,125.041439672,2.354230175,0
US,ME,2006,1323619,30.97271883,41.235057019,124.653399146,2.334701857,0
US,ME,2007,1327040,29.913892405,42.116549557,129.48707617,2.197139531,0
US,ME,2008,1330509,25.505514862,41.91018036,126.420333857,2.131404166,0
US,ME,2009,1329590,23.10597829,41.27722777,121.72157572,2.101467684,0
US,ME,2010,1327651,22.338229104,41.204894681,115.32944796,1.980069077,0
US,ME,2011,1328473,20.81140992,40.80524937,114.965013059,2.024963111,0
US,ME,2012,1328094,17.088328803,40.194084178,107.04169165,1.974418733,0
US,ME,2013,1328543,18.430682855,40.176999515,101.399759102,1.848387376,0
US,ME,2014,1331217,18.293946036,40.237273582,103.717094369,1.810568146,0
US,ME,2015,1329098,18.887848635,40.394901346,107.152875884,1.763181725,0
US,ME,2016,1332348,17.872650896,27.549247936,101.837414414,1.788747207,0
US,ME,2017,1335743,16.355384155,28.443419908,93.477039871,1.977515565,0
US,ME,2018,1340123,15.407545888,28.800976451,95.60615639,2.212116348,0
US,MD,1997,5157328,153.768878007,32.163118962,250.511213755,17.208651984,0
US,MD,1998,5204464,159.017256782,32.155378584,258.259500411,17.362418588,0
US,MD,1999,5254509,164.344021191,32.608812835,267.948655368,17.614673094,0
US,MD,2000,5311034,163.861269955,17.28188958,337.592579427,17.257635682,0
US,MD,2001,5374691,165.284827979,16.967019369,342.599319002,17.463934908,0
US,MD,2002,5440389,165.380499658,16.546306132,312.050800733,17.162305206,0
US,MD,2003,5496269,170.85829501,16.912854373,289.08020194,17.390748851,0
US,MD,2004,5546935,174.108226759,17.183227509,292.401229081,16.309332567,0
US,MD,2005,5592379,176.860565996,17.321865027,300.249734045,16.699615539,0
US,MD,2006,5627367,162.902061921,17.662916509,290.766633615,18.888904405,0
US,MD,2007,5653408,163.359191055,13.289325549,282.682970131,20.572099296,0
US,MD,2008,5684965,154.93639488,13.842490388,284.538069227,21.248980853,0
US,MD,2009,5730388,147.744286434,13.490257844,274.737872503,21.458021869,0
US,MD,2010,5788784,144.640027776,14.795858137,275.140550077,21.198405906,0
US,MD,2011,5840241,135.334930335,15.543495215,294.424021865,22.219731558,0
US,MD,2012,5888375,126.054889036,15.58786255,295.910182118,7.780305882,0
US,MD,2013,5925197,124.868425705,16.109759007,282.929057899,7.540710428,0
US,MD,2014,5960064,129.924973749,16.63115206,312.05553246,7.569345028,0
US,MD,2015,5988528,125.988882815,17.027821044,315.432928671,7.588013602,0
US,MD,2016,6007014,121.923583915,17.165991765,318.714540775,7.449777914,0
US,MD,2017,6028186,111.027358553,17.642103144,327.361088118,7.32297033,0
US,MD,2018,6042153,124.593076879,17.545610923,340.327968552,6.970534278,0
US,MA,1997,6226058,173.693389331,3.098245258,72.219455361,8.024048969,0
US,MA,1998,6271838,168.921949041,3.989985046,73.648491838,13.777938148,0
US,MA,1999,6317345,164.280616418,4.208153045,71.185479151,13.320189906,0
US,MA,2000,6361104,166.128876761,4.279063666,73.540419173,13.641706212,0
US,MA,2001,6397634,165.129803828,4.531673075,72.737654793,13.949597443,0
US,MA,2002,6417206,167.282769938,4.748816047,74.473065276,13.739096395,0
US,MA,2003,6422565,170.487650136,4.943519046,71.48405973,13.940378886,0
US,MA,2004,6412281,166.872639723,5.131476741,71.692948606,14.165280738,0
US,MA,2005,6403290,169.591810473,5.176151735,71.092653969,13.842039422,0
US,MA,2006,6410084,153.769625495,5.275819755,72.104778777,13.610494247,0
US,MA,2007,6431559,160.083962704,5.181133398,71.892073458,12.552064433,0
US,MA,2008,6468967,153.982866106,5.150198458,70.186528401,12.025042812,0
US,MA,2009,6517613,140.498738813,5.179608189,74.428978072,12.684584118,0
